,%spendhighimprshare,KS,cost,cost_on_high_imprshare,portfolio_id,ports
1615,1.0,KS7232,4065.0900878899997,4065.0900878899997,14018.0,14018.0
5,1.0,KS7059,3870.8599967599994,3870.8599967599994,268.0,268.0
29,1.0,KS3551,3678.60998311,3678.60998311,83.0,83.0
107,1.0,KS3475,3499.759996409999,3499.759996409999,252.0,252.0
17,0.9993937600617492,KS3384,3480.4699705,3478.3599706,34.0,34.0
310,1.0,KS1154,3474.3799832199998,3474.3799832199998,5010.0,5010.0
124,0.9982842167575618,KS5040,3446.57303075,3440.6594585,638.0,638.0
4,1.0,KS3695,3419.3641013999995,3419.3641013999995,30.0,30.0
12,1.0,KS1154,3419.31005766,3419.31005766,1221.0,1221.0
26,1.0,KS3758,3394.9199980899994,3394.9199980899994,37.0,37.0
704,1.0,KS6226,3310.4999897499997,3310.4999897499997,2300.0,2300.0
2769,1.0,KS7232,3083.9700489100005,3083.9700489100005,16518.0,16518.0
50,1.0,KS3349,3083.139995560001,3083.139995560001,476.0,476.0
70,0.9908529486633093,KS5015,3092.7999558199995,3064.509955849999,451.0,451.0
4,1.0,KS1157,2911.29998991,2911.29998991,1089.0,1089.0
383,1.0,KS6176,2907.8580465099994,2907.8580465099994,9410.0,9410.0
8,0.9668338174068026,KS3384,2955.420001520001,2857.400002110001,23.0,23.0
2612,1.0,KS7232,2777.4000253699996,2777.4000253699996,16241.0,16241.0
2453,1.0,KS7232,2737.9000129700003,2737.9000129700003,15969.0,15969.0
8,0.9987215089135362,KS5040,2730.36840613,2726.8776544600005,20.0,20.0
2,1.0,KS6173,2611.1200122800005,2611.1200122800005,27.0,27.0
965,1.0,KS7232,2596.13998033,2596.13998033,10668.0,10668.0
594,1.0,KS6176,2312.8799667499998,2312.8799667499998,10362.0,10362.0
1421,1.0,KS7232,2309.42002487,2309.42002487,13255.0,13255.0
505,1.0,KS7232,2291.6999556900005,2291.6999556900005,5698.0,5698.0
753,1.0,KS7232,2237.6158599699997,2237.6158599699997,8850.0,8850.0
85,1.0,KS3385,2227.75999342,2227.75999342,356.0,356.0
294,1.0,KS1154,2226.99999575,2226.99999575,4978.0,4978.0
20,1.0,KS5021,2160.71599555,2160.71599555,453.0,453.0
805,1.0,KS1143,2140.8099813599997,2140.8099813599997,2212.0,2212.0
26,1.0,KS1236,2066.89999369,2066.89999369,167.0,167.0
1305,1.0,KS6226,2053.43997493,2053.43997493,4507.0,4507.0
1,1.0,KS3519,2045.6300010700002,2045.6300010700002,2.0,2.0
372,1.0,KS3441,2029.6700005199998,2029.6700005199998,3344.0,3344.0
729,1.0,KS6173,1997.6100161000004,1997.6100161000004,3269.0,3269.0
261,1.0,KS6173,1997.47000315,1997.47000315,1386.0,1386.0
1092,1.0,KS6173,1990.36000442,1990.36000442,4020.0,4020.0
7,0.9972898775174006,KS3721,1988.8399969399998,1983.4499969499998,63.0,63.0
1,1.0,KS5123,1964.3600177800001,1964.3600177800001,264.0,264.0
252,1.0,KS1154,1886.67001125,1886.67001125,4902.0,4902.0
2766,1.0,KS7232,1875.4299984199997,1875.4299984199997,16510.0,16510.0
4,1.0,KS1193,1863.1899823900003,1863.1899823900003,344.0,344.0
509,1.0,KS6173,1848.6599979300001,1848.6599979300001,2383.0,2383.0
1117,1.0,KS7232,1841.06245231,1841.06245231,11595.0,11595.0
1752,1.0,KS7232,1828.7124862599999,1828.7124862599999,14435.0,14435.0
